ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0022613	ribonucleoprotein complex biogenesis	310/4813	475/18614	1.43E-74	7.00E+01	6.57E-71	PRPF18/TSR2/AGO3/TARBP2/SRFBP1/NOL8/PRMT7/RPS28/RRP15/WDR74/MDN1/C1QBP/EXOSC5/LAS1L/LSM4/GAR1/FBL/EIF2A/PHF5A/RPL7L1/RPL35A/EIF2S2/MRPS11/WDR55/RPS25/WDR75/WDR36/RPS27/PELP1/DCAF13/TSC1/NUP88/DKC1/RPL26L1/XPO1/RPUSD2/SRSF1/NAT10/RRP12/DDX28/HSP90AA1/CUL4B/NOC2L/GNL2/POP4/RPL5/DDX18/EIF3L/BOP1/PRPF39/EIF3J/NUDT16/MRPL20/NHP2/RPF2/SNRPB2/FTSJ3/DICER1/DIS3/SRSF5/MYBBP1A/USP4/UTP18/EIF3I/LUC7L2/RPS16/PWP2/RPS15/SF1/DENR/EXOSC2/NVL/COIL/TSSC4/EXOSC8/NGDN/POP7/NAF1/UTP20/EMG1/FBLL1/DDX52/IMP4/NSUN4/RPS24/EXOSC4/DDX27/NOP9/CRNKL1/GTPBP10/HTATSF1/CLNS1A/DDX23/EXOSC7/NOL10/SNRPE/DHX37/BMS1/NOL3/CDC73/XRN2/PRPF3/NIFK/RPL10/NPM3/TFB1M/MRPS7/LYAR/MPHOSPH10/RRP8/EXOSC6/RPS27L/EIF3E/SDAD1/EXOSC10/ERI3/SNRPC/LSM2/RPP30/EIF2D/MCTS1/MPHOSPH6/SNRPA1/LSG1/RIOK3/SRPK1/IMP3/ADAR/WBP11/PTGES3/GTPBP4/EIF3M/RPL7/SNRPD3/RUVBL2/ABCE1/SNRPD1/AATF/RPS7/EIF3F/DHX30/RUVBL1/RPS5/RPS17/NPM1/BRIX1/AGO2/PES1/RPSA/EIF3K/PWP1/PA2G4/TBL3/RPS19/HSP90AB1/PPAN/NOP10/SF3B2/DDX56/RPL23A/TRMT112/RPS6/SF3B4/NOL6/SPATA5L1/SF3B6/DDX39B/DIMT1/POLR2D/RRS1/PSIP1/RPL11/ATM/CD2BP2/RPS14/RPS8/SF3A2/NOB1/NOL9/EIF3D/NOP16/RPL6/WDR46/SNRNP200/WDR3/SF3B3/GEMIN5/SF3A1/SBDS/PRPF6/RIOK2/PRPF8/SPATA5/ISY1/RPL13A/DDX17/HEATR1/CPSF6/EIF3G/TSR1/RPS9/PRMT5/DDX1/RPL35/NOL11/CUL4A/DHX29/PDCD11/NOC4L/NOP56/LUC7L/FASTKD2/UTP14A/RRP7A/FRG1/CPSF7/PUF60/YTHDC1/RPL27/EIF3A/MRPS2/SF3B1/RRP9/NCBP1/GEMIN4/EIF4A3/PIH1D1/EXOSC1/WDR18/WDR12/WDR77/DDX46/XRCC5/EIF3B/EIF3H/STRAP/SF3B5/NOP58/MAK16/SNRPD2/NLE1/TFB2M/PRPF31/MRPL44/RPS21/RAN/GRWD1/RPL26/SART1/RPL14/ERAL1/EIF6/PRKDC/DDX20/WDR43/RPL38/EBNA1BP2/ERCC2/SF3A3/URB2/BYSL/DHX9/EIF5/LUC7L3/NIP7/NOLC1/RPF1/NSA2/SNRPF/SNIP1/NUDT21/DDX47/YTHDF2/TMA16/SRSF9/MRTO4/DDX21/PRPF19/MALSU1/YBEY/LSM6/SART3/NMD3/UTP6/USP39/SRSF6/AAR2/NOP2/LTV1/CELF1/RPP40/URB1/UTP15/ATR/EXOSC3/PIN4/TXNL4A/MRPL22/UTP3/XAB2/DDX54/SRPK2/ZNF622/DDX10/ERI1/SDE2/EXOSC9/ZNF593/RCL1/RSL24D1	310
BP	GO:0006397	mRNA processing	298/4813	500/18614	1.19E-58	5.44E+01	2.74E-55	PRPF18/MTPAP/PCF11/ZFP36L1/C9orf78/RBBP6/PRMT7/DDX41/C1QBP/PUS7/BCAS2/LSM4/CWF19L1/PHF5A/DHX15/CMTR2/TSEN34/RBM4/PPIE/PAF1/PRPF4/TRUB1/TBRG4/FXR2/RBM15/PAPOLA/RPUSD2/ZC3H13/SRSF1/RBM14/SAP18/PRPF39/RRP1B/DDX5/DHX38/SNRPB2/JMJD6/SSU72/SUPT6H/CIRBP/CPSF3/SRSF5/SCAF4/USP4/PPIL3/PNPT1/SRRT/LUC7L2/SNW1/TRA2A/SF1/SCAF8/IWS1/HSF1/PUS1/HABP4/KHDRBS3/RBM15B/NCBP2/COIL/AKAP8L/TSSC4/CDK13/TRMT2A/RNMT/CWC22/ZBTB7A/THOC5/PPWD1/RBM4B/MFAP1/CDK12/CRNKL1/MBLAC1/LSM1/WDR33/HTATSF1/CLNS1A/DDX23/SNRPE/SRSF4/NOL3/ALKBH5/LSM3/PPIL1/CDC73/XRN2/PRPF3/RPRD1B/KHDRBS1/HNRNPF/PRKACA/MBNL1/RBM26/SYMPK/THOC6/ZPR1/SRRM1/RBM27/CWC27/RNPS1/PAXBP1/SNRPC/LSM2/RALY/SNRPA1/TSEN15/ZC3H14/PQBP1/PLRG1/PRMT9/ZNF326/RBM42/SRPK1/ADAR/PPIH/SNRPD3/WBP4/DHX36/SNRPD1/PRPF40A/CSTF3/PPP1R8/SNRPA/ACIN1/TCERG1/RBM10/LARP7/SNRNP70/PRPF38A/DDX39A/FAM50A/HNRNPH3/SF3B2/RBM8A/SF3B4/DHX16/SF3B6/GPKOW/DDX39B/PNN/POLR2D/RBM39/PSIP1/METTL14/CSTF1/DAZAP1/CD2BP2/NUP98/CDK9/SYNCRIP/TARDBP/GRSF1/SF3A2/PRDX6/SON/SCAF1/SNRNP200/SF3B3/GEMIN5/CDC5L/SF3A1/PPP4R2/HSPA8/PRPF6/PRPF8/THRAP3/THOC2/ISY1/DDX17/SRRM2/LGALS3/CPSF6/SFPQ/HNRNPM/HNRNPK/PRMT5/CPSF2/THOC1/PRPF4B/DDX1/RNGTT/LUC7L/PDE12/CTNNBL1/RBM28/FRG1/CPSF7/PUF60/YTHDC1/UBL5/SAFB/FXR1/PHRF1/SF3B1/HNRNPL/CWC15/NCBP1/DCPS/BUD31/GEMIN4/EIF4A3/RBM3/HNRNPR/NONO/PTBP1/U2AF2/RBM7/WDR77/SAFB2/DDX46/SNRNP40/STRAP/EFTUD2/IK/SRSF7/SF3B5/SRSF2/SNRPD2/RBM25/SMU1/HNRNPLL/PRPF31/PTBP3/QKI/HNRNPA3/METTL3/ALYREF/HNRNPH1/SART1/HNRNPA0/YBX1/DDX20/FMR1/HNRNPU/SF3A3/CSTF2T/RBM17/PABPN1/DHX9/TRA2B/AQR/HNRNPA2B1/LUC7L3/SRSF11/KHSRP/NCL/ZRANB2/APP/LSM8/KDM1A/TIA1/LEO1/CCAR2/CPSF1/SNRPF/SNIP1/NUDT21/DDX47/SMNDC1/SLTM/RPRD2/SRSF9/SRSF3/THOC3/PRPF19/LSM6/THOC7/SART3/USP39/SRSF6/AAR2/CELF1/ARL6IP4/ECD/TFIP11/CSTF2/TXNL4A/DBR1/ZCCHC8/XAB2/PRPF38B/SRPK2/CACTIN/SREK1/RBM22/MBNL2/SUGP2/SDE2/SUGP1/RPRD1A/TUT1/RBM19/TTF2/CMTR1/WTAP/PAN2/RSRC1	298
BP	GO:0042254	ribosome biogenesis	206/4813	298/18614	5.89E-56	5.19E+01	9.03E-53	TSR2/SRFBP1/NOL8/RPS28/RRP15/WDR74/MDN1/C1QBP/EXOSC5/LAS1L/GAR1/FBL/EIF2A/RPL7L1/RPL35A/MRPS11/WDR55/RPS25/WDR75/WDR36/RPS27/PELP1/DCAF13/TSC1/NUP88/DKC1/RPL26L1/XPO1/RPUSD2/NAT10/RRP12/DDX28/CUL4B/NOC2L/GNL2/POP4/RPL5/DDX18/BOP1/NUDT16/MRPL20/NHP2/RPF2/FTSJ3/DIS3/MYBBP1A/UTP18/RPS16/PWP2/RPS15/EXOSC2/NVL/EXOSC8/NGDN/POP7/NAF1/UTP20/EMG1/FBLL1/DDX52/IMP4/NSUN4/RPS24/EXOSC4/DDX27/NOP9/GTPBP10/EXOSC7/NOL10/DHX37/BMS1/XRN2/NIFK/RPL10/NPM3/TFB1M/MRPS7/LYAR/MPHOSPH10/RRP8/EXOSC6/RPS27L/SDAD1/EXOSC10/ERI3/RPP30/MPHOSPH6/LSG1/RIOK3/IMP3/WBP11/GTPBP4/RPL7/ABCE1/AATF/RPS7/DHX30/RPS5/RPS17/NPM1/BRIX1/PES1/RPSA/PWP1/PA2G4/TBL3/RPS19/PPAN/NOP10/DDX56/RPL23A/TRMT112/RPS6/NOL6/SPATA5L1/DIMT1/RRS1/RPL11/RPS14/RPS8/NOB1/NOL9/NOP16/RPL6/WDR46/WDR3/SBDS/RIOK2/SPATA5/DDX17/HEATR1/TSR1/RPS9/RPL35/NOL11/CUL4A/DHX29/PDCD11/NOC4L/NOP56/FASTKD2/UTP14A/RRP7A/FRG1/RPL27/MRPS2/RRP9/GEMIN4/EIF4A3/PIH1D1/EXOSC1/WDR18/WDR12/XRCC5/NOP58/MAK16/NLE1/TFB2M/MRPL44/RPS21/RAN/GRWD1/RPL26/SART1/RPL14/ERAL1/EIF6/PRKDC/WDR43/RPL38/EBNA1BP2/ERCC2/URB2/BYSL/NIP7/NOLC1/RPF1/NSA2/DDX47/YTHDF2/TMA16/MRTO4/DDX21/MALSU1/YBEY/LSM6/NMD3/UTP6/NOP2/LTV1/RPP40/URB1/UTP15/EXOSC3/PIN4/MRPL22/UTP3/DDX54/ZNF622/DDX10/ERI1/SDE2/EXOSC9/ZNF593/RCL1/RSL24D1	206
BP	GO:0048193	Golgi vesicle transport	197/4813	294/18614	3.24E-50	4.63E+01	3.73E-47	RAB6C/VPS52/RABIF/KDELR2/COPZ2/CCDC91/KIF1C/GOLGA7/GOLPH3L/PPP6C/COMMD1/PRKD1/EXOC6B/LMAN2/GOSR2/ACSL3/BCAP31/COG7/EXOC8/MACF1/RAB1B/TMED5/AP3S1/MYO1B/SCYL1/TMED4/BNIP1/TRAPPC5/ARF4/CLN3/CORO7/AP1G1/YKT6/EXOC4/SEC23IP/EPS15/GAK/TRAPPC3/AP3D1/RER1/PDCD6/ARCN1/MIA3/RABEP1/TRAPPC12/VAMP5/COG3/VPS13A/BET1L/WIPI1/TRAPPC11/CNIH4/GGA2/ARF5/TMED2/ARFGEF2/TFG/YIF1B/TRAPPC8/COG1/VAMP3/GOLGA5/ATP2C1/IER3IP1/ARL1/STX18/SAR1B/SEC24B/SNX3/YIPF6/SEC22B/STX5/COPE/RAB1A/MYO5A/TMED9/VPS51/TRIP11/RP2/SEC24A/COG6/TAPBP/LYPLA1/RAB6A/GOPC/MON2/ARFGAP3/NRBP1/STX6/ERGIC2/SCAMP2/VCP/COG5/SCFD1/USO1/EXOC2/COPB2/CSK/ERGIC1/COPA/SNAP23/SCAMP3/SPTBN1/GOLGA4/SNX2/PEF1/SEC13/SAR1A/COPB1/GBF1/COG2/COG4/VAMP7/RAB10/AP2A1/VAPA/ZW10/BCAP29/NSF/SEC23B/ARL3/RAB34/RAB14/COPG1/TMED10/TMED7/EXOC1/SEC24C/ANKFY1/EXOC5/RAB8B/NAPA/SEC24D/RAB8A/PRKCI/COPG2/VTI1B/SEC23A/SCAMP1/SNX12/CCDC22/COPZ1/YIPF5/CUL3/GOLGA2/HYOU1/SEC16A/BET1/P4HB/LLGL1/VAPB/LMAN1/RANGRF/OPTN/NAPG/CCDC93/ARFGAP2/BICD2/ERGIC3/GGA1/YIF1A/SORT1/SNX1/SEC31A/GOLPH3/DNM2/PREB/NBAS/TMED1/PREPL/TRAPPC1/MYO18A/PITPNB/GOSR1/TRAPPC4/LAMP1/RAB13/KRT18/VPS13C/GCC2/MIA2/RAB31/HTT/COG8/TRAPPC13/LMAN2L/VTI1A/SPIRE1/KIF13A/EHD3/VPS54/KDELR1/SPAST/TRAPPC10/SNX8/RAB12/TMED3	197
BP	GO:0008380	RNA splicing	268/4813	466/18614	1.48E-48	4.47E+01	1.36E-45	PRPF18/C9orf78/PRMT7/DDX41/C1QBP/PUS7/BCAS2/LSM4/CWF19L1/USP22/PHF5A/DHX15/TSEN34/RBM4/PPIE/PRPF4/FXR2/RBM15/ZC3H13/SRSF1/RBM14/SAP18/AHNAK2/PRPF39/RRP1B/DDX5/DHX38/SNRPB2/JMJD6/SUPT6H/CIRBP/SRSF5/USP4/PPIL3/LUC7L2/SNW1/TRA2A/SF1/IWS1/PUS1/HABP4/KHDRBS3/RBM15B/NCBP2/COIL/AKAP8L/TSSC4/CDK13/CWC22/ZBTB7A/THOC5/ZNF638/PPWD1/RBM4B/MFAP1/CDK12/CRNKL1/LSM1/HTATSF1/CLNS1A/DDX23/SNRPE/SRSF4/NOL3/LSM3/PPIL1/PRPF3/IVNS1ABP/KHDRBS1/HNRNPF/MPHOSPH10/MBNL1/PPIG/THOC6/ZPR1/SRRM1/CWC27/RNPS1/PAXBP1/SNRPC/LSM2/RALY/SNRPA1/TSEN15/PQBP1/PLRG1/TMBIM6/ZNF326/RBM42/SRPK1/PPIH/SNRPD3/WBP4/SNRPD1/PRPF40A/PPP1R8/SNRPA/ACIN1/TCERG1/RBM10/LARP7/SNRNP70/PRPF38A/DDX39A/FAM50A/HNRNPH3/SF3B2/RBM8A/SF3B4/DHX16/SF3B6/GPKOW/DDX39B/PNN/POLR2A/RBM12B/RBM39/PSIP1/METTL14/DAZAP1/HNRNPH2/CD2BP2/NUP98/SYNCRIP/TARDBP/GRSF1/FAM98A/SF3A2/PRDX6/SON/SCAF1/PPP1R9B/SNRNP200/SF3B3/GEMIN5/CDC5L/SF3A1/PPP4R2/HSPA8/PRPF6/TRRAP/PRPF8/THRAP3/THOC2/ISY1/DDX17/SRRM2/LGALS3/SFPQ/HNRNPM/HNRNPK/PRMT5/THOC1/PRPF4B/DDX1/LUC7L/CTNNBL1/SLC38A2/RBM28/FRG1/PRMT1/PUF60/YTHDC1/UBL5/FXR1/AHNAK/SF3B1/PPP2R1A/HNRNPL/CWC15/NCBP1/DCPS/BUD31/RPS13/GEMIN4/EIF4A3/RBM3/HNRNPR/NONO/PTBP1/U2AF2/FUS/RBM7/WDR77/DDX46/SNRNP40/STRAP/EFTUD2/IK/SRSF7/SF3B5/SRSF2/SNRPD2/RBM25/SMU1/HNRNPLL/PRPF31/PTBP3/QKI/HNRNPA3/METTL3/ALYREF/HNRNPH1/SART1/HNRNPA0/YBX1/RBM12/DDX20/FMR1/HNRNPU/SF3A3/RTCB/RBM17/DHX9/TRA2B/AQR/HNRNPA2B1/PPP2CA/LUC7L3/SRSF11/KHSRP/NCL/ZRANB2/LSM8/KDM1A/TIA1/CCAR2/SNRPF/SNIP1/DDX47/SMNDC1/FAM98B/SRSF9/SRSF3/THOC3/PRPF19/LSM6/THOC7/SART3/USP39/SRSF6/AAR2/ENY2/CELF1/ARL6IP4/TAF15/ECD/TFIP11/TXNL4A/DBR1/ZCCHC8/XAB2/PRPF38B/TAF10/SRPK2/CACTIN/SREK1/RBM22/MBNL2/SUGP2/TRPT1/SDE2/SUGP1/RBM19/TTF2/SUPT7L/WTAP/RSRC1	268
BP	GO:0002181	cytoplasmic translation	127/4813	159/18614	2.50E-46	4.26E+01	1.92E-43	FTSJ1/RPS28/EIF4G1/PKM/RPL35A/EIF2S2/ZC3H15/RWDD1/RPS25/RBM4/RPL29/RPL9/RPS27/RPL19/RPL26L1/RPL24/ETF1/RPL5/EIF3L/DPH5/EIF3J/RPL12/IGF2BP1/RPL10A/NCK1/RPS15A/SH3BGRL/RPS20/EIF3I/RPS16/RPS15/RPL23/RPS2/DENR/NCBP2/DPH2/CPEB4/RPS24/NEMF/RPL36/RPL32/RPL10/EIF4A2/RPL27A/EIF3E/EIF2B3/EIF4A1/RPL30/EIF2D/MCTS1/RPS23/HNRNPD/EIF3M/RPL7/DHX36/RPS7/RPL3/EIF3F/RPS5/RPL8/FAU/RPS17/RPSA/EIF3K/RPS19/MTOR/YBX3/RPL4/RPS29/CSDE1/DRG2/RPL23A/RPS6/UNK/RPL22L1/RPL11/RPL17/SYNCRIP/RPS14/RPS8/RPL37A/EIF3D/RPL6/RPL18A/CNBP/RPS3A/RPS3/RPL13A/EIF3G/RPS9/RPL7A/RPL34/RPL35/DHX29/RPL15/RPL13/RPL27/EIF3A/RPL18/NCBP1/RPS13/RPL28/EIF3B/RPLP1/EIF3H/RPS18/RPL36A/RPS21/RPS12/METTL3/RPL26/PAIP1/RPL21/RPL14/YBX1/RPS10/DRG1/RPL31/FMR1/RPL38/RPS11/HNRNPU/RPLP2/DHX9/EIF5/YTHDF2/RPL22	127
BP	GO:0006364	rRNA processing	155/4813	218/18614	8.50E-45	4.11E+01	5.58E-42	TSR2/SRFBP1/NOL8/RPS28/RRP15/WDR74/EXOSC5/LAS1L/GAR1/FBL/RPL7L1/RPL35A/MRPS11/WDR55/RPS25/WDR75/WDR36/RPS27/PELP1/DCAF13/DKC1/RPUSD2/NAT10/RRP12/POP4/RPL5/DDX18/BOP1/NUDT16/NHP2/RPF2/FTSJ3/DIS3/UTP18/RPS16/PWP2/RPS15/EXOSC2/NVL/EXOSC8/NGDN/POP7/NAF1/UTP20/EMG1/FBLL1/DDX52/IMP4/NSUN4/RPS24/EXOSC4/DDX27/NOP9/EXOSC7/NOL10/DHX37/BMS1/XRN2/NIFK/NPM3/TFB1M/LYAR/MPHOSPH10/RRP8/EXOSC6/EXOSC10/ERI3/RPP30/MPHOSPH6/RIOK3/IMP3/WBP11/GTPBP4/RPL7/RPS7/RPS17/BRIX1/PES1/PWP1/PA2G4/TBL3/RPS19/PPAN/NOP10/DDX56/TRMT112/RPS6/NOL6/DIMT1/RRS1/RPL11/RPS14/RPS8/NOB1/NOL9/WDR46/WDR3/SBDS/RIOK2/DDX17/HEATR1/TSR1/RPL35/NOL11/PDCD11/NOC4L/NOP56/UTP14A/RRP7A/FRG1/RPL27/RRP9/GEMIN4/EIF4A3/PIH1D1/EXOSC1/WDR18/WDR12/NOP58/MAK16/TFB2M/MRPL44/RPS21/RPL26/SART1/RPL14/EIF6/PRKDC/WDR43/EBNA1BP2/ERCC2/BYSL/NOLC1/RPF1/NSA2/DDX47/YTHDF2/MRTO4/DDX21/YBEY/LSM6/UTP6/NOP2/RPP40/URB1/UTP15/EXOSC3/PIN4/UTP3/DDX54/DDX10/ERI1/SDE2/EXOSC9/RCL1	155
BP	GO:0072594	establishment of protein localization to organelle	256/4813	453/18614	1.67E-44	4.09E+01	9.57E-42	LONP2/TGFB1/PEX13/BAG4/UBAP1/UBE2L3/PEX19/MTX2/RAB23/NF1/CCT4/PRKD1/TSPO/AIFM1/VPS25/SEC61G/SPCS1/ABLIM3/AP3M1/FLNA/BCAP31/AGK/IPO9/MVB12A/APPL1/FIS1/RNF31/OXA1L/NUP88/ELAVL1/HAX1/DKC1/GRPEL1/TIMM9/MFN2/SRP72/HK2/TSG101/VPS41/PIK3C3/TOMM34/STK4/NUP155/PAM16/HSP90AA1/KPNA3/VPS28/APPL2/PXK/PRKAA1/IPO8/UBR5/AP3D1/CCT3/GET4/BAX/SNF8/RPL23/NUP35/MTX1/ECT2/GNPTG/HDAC3/SRP68/TXNIP/POT1/E2F3/VPS13A/HYAL2/SGTB/CHCHD4/IPO13/ATG13/WBP2/TOMM40/PEX5/TOMM22/PEX3/PIK3R2/PPP3R1/STAM2/TNPO2/VPS53/AIP/UBL4A/FBXO7/LAMP2/PPP1R10/RAB3GAP1/RALA/ZFAND6/BNIP3L/BCS1L/ZPR1/SRP19/CCT5/MAVS/NEDD4/RAB3GAP2/NUP133/NIPBL/NPEPPS/PIK3R4/CHMP4B/TRIM28/STAM/ZFYVE16/SRP14/CCT7/SPG11/IPO11/TRAM2/PHB2/TCP1/TIMM44/SEC61A1/HGS/PML/RUVBL2/SEC63/SSR3/SCARB2/SMAD3/VPS11/SEC13/SCRIB/SH3GLB1/AP3B1/BAG6/RAB10/NMT1/KPNB1/PEX14/CCT8/NUTF2/BID/PDCD5/NUP153/NUP50/CSNK2A2/CCT2/TIMM8A/CSE1L/IPO5/NDUFA13/NUP98/TARDBP/LRSAM1/BAG3/NUP54/TNPO3/SAMM50/PITRM1/SRP9/CHP1/HK1/SPCS3/RAB8B/RANBP6/SRP54/TIMM13/AKT1/NUP85/HSPA8/SRPRB/TIMM8B/PTPN23/CCT6A/PPP3CA/PMPCA/ARIH2/POLA2/DNAJA1/HSPA4/NUP93/IPO7/SGTA/ROMO1/IPO4/HUWE1/HYOU1/MAPK14/LMNA/TNPO1/STK3/VPS37A/GSK3A/UBL5/STAT3/HSPA5/TIMM50/USP9X/CHMP4A/PEX1/TRAM1/SEC61B/PIH1D1/RAB7A/NUP188/MFF/LMAN1/RANGRF/VPS4A/M6PR/SEC62/TPR/RANBP2/MED1/PMPCB/MIPEP/HTRA2/HSPD1/LRWD1/NUP214/RAN/KPNA4/SORT1/KPNA2/NUP62/NUP107/GDAP1/CDK1/SPCS2/JUP/TSC2/NOLC1/TIMM10/SAE1/SQSTM1/UFM1/LAMP1/SUMO1/MAN1A1/VPS13C/PEX16/GCC2/PTTG1IP/WRAP53/SNUPN/VPS13D/HACL1/KPNA1/SUFU/RBM22/VPS54/PKIA/EIF4ENIF1/BECN1/CDKN1A/TIMM21/NABP2/PEX6/SNX16/PRKCD/TIMM17A/DNAJC19	256
BP	GO:0016072	rRNA metabolic process	170/4813	257/18614	2.61E-42	3.87E+01	1.33E-39	TSR2/SRFBP1/NOL8/RPS28/RRP15/WDR74/EXOSC5/LAS1L/GAR1/FBL/RPL7L1/RPL35A/MRPS11/WDR55/RPS25/WDR75/WDR36/RPS27/PELP1/DCAF13/DKC1/RPUSD2/NAT10/RRP12/POP4/RPL5/DDX18/BOP1/NUDT16/NHP2/RPF2/FTSJ3/DIS3/UTP18/RPS16/GTF3C3/PWP2/RPS15/XRN1/EXOSC2/NVL/EXOSC8/NGDN/POP7/NAF1/UTP20/EMG1/FBLL1/DDX52/IMP4/NSUN4/RPS24/EXOSC4/DDX27/NOP9/EXOSC7/NOL10/DHX37/BMS1/POLR1E/XRN2/NIFK/NPM3/TFB1M/LYAR/MPHOSPH10/RRP8/EXOSC6/EXOSC10/ERI3/RPP30/MPHOSPH6/RIOK3/SMARCB1/IMP3/POLR1B/WBP11/GTPBP4/RPL7/RPS7/RPS17/BRIX1/PES1/PWP1/PA2G4/TBL3/RPS19/MTOR/PPAN/NOP10/DDX56/TRMT112/RPS6/NOL6/DIMT1/RRS1/RPL11/RPS14/RPS8/NOB1/NOL9/WDR46/WDR3/TCOF1/SBDS/RIOK2/DDX17/HEATR1/TSR1/GTF3C2/RPL35/NOL11/PDCD11/NOC4L/NOP56/UTP14A/RRP7A/FRG1/RPL27/RRP9/GEMIN4/EIF4A3/PIH1D1/EXOSC1/WDR18/WDR12/NOP58/MAK16/TFB2M/MRPL44/RPS21/RPL26/SART1/RPL14/EIF6/PRKDC/WDR43/EBNA1BP2/ERCC2/BYSL/NCL/NOLC1/RPF1/NSA2/DDX47/YTHDF2/MRTO4/DDX21/GTF3C4/YBEY/LSM6/GTF3C5/PELO/UTP6/NOP2/RPP40/GTF3C1/URB1/UTP15/EXOSC3/PIN4/SMARCA4/UTP3/DDX54/DDX10/ERI1/SDE2/EXOSC9/RCL1/SPIN1	170
BP	GO:0034470	ncRNA processing	243/4813	432/18614	8.34E-42	3.83E+01	3.83E-39	FTSJ1/TGFB1/TSR2/AGO3/TARBP2/SRFBP1/NOL8/TRNT1/RPS28/RRP15/WDR74/TRMT1/ZMPSTE24/EXOSC5/LAS1L/PUS7/GAR1/FBL/RPL7L1/RPL35A/TRMT11/MRPS11/WDR55/RPS25/WDR75/TSEN34/NSUN2/WDR36/TRMT10C/RPS27/PELP1/DCAF13/ELP3/INTS6/TRUB1/DKC1/RPUSD2/OSGEP/NAT10/NUP155/RRP12/POP4/RPL5/DDX18/BOP1/DDX5/NUDT16/NHP2/RPF2/FTSJ3/ZC3H7A/DICER1/DIS3/UTP18/SRRT/RPS16/PWP2/RPS15/PUS1/QTRT1/EXOSC2/OSGEPL1/INTS10/NCBP2/NVL/TRMT2A/EXOSC8/LAGE3/NGDN/POP7/NAF1/UTP20/EMG1/FBLL1/DDX52/IMP4/NSUN4/RPS24/EXOSC4/DDX27/NOP9/EXOSC7/NOL10/ZC3H7B/DHX37/BMS1/THUMPD3/XRN2/NIFK/NPM3/TFB1M/INTS5/LYAR/MPHOSPH10/TSNAX/INTS1/RRP8/PUM1/EXOSC6/EXOSC10/ERI3/RPP30/MPHOSPH6/TSEN15/RIOK3/IMP3/ADAR/WBP11/GTPBP4/RPL7/TRMT5/RPS7/TSN/SMAD3/ELP2/RPS17/BRIX1/AGO2/PES1/LARP7/PWP1/PA2G4/TBL3/RPS19/WDR6/PPAN/NOP10/ELAC2/DDX56/PARN/TRMT112/RPS6/NOL6/SMAD2/DIMT1/RRS1/RPL11/INTS3/RPS14/RPS8/HSD17B10/GRSF1/FAM98A/NOB1/NOL9/WDR46/WDR3/LCMT2/SBDS/RIOK2/TRMT61A/DDX17/HEATR1/TSR1/SSB/DDX1/RPL35/NOL11/PDCD11/NOC4L/NOP56/UTP14A/RRP7A/FRG1/ELP6/TP53RK/RPL27/STAT3/PRKRA/RRP9/NCBP1/CDK5RAP1/PUM2/GEMIN4/EIF4A3/PIH1D1/INTS7/EXOSC1/WDR18/WDR12/TRMT6/NOP58/MAK16/TFB2M/POP1/DUS2/MRPL44/RPS21/METTL3/RPL26/SART1/RPL14/EIF6/PRKDC/WDR43/EBNA1BP2/ERCC2/RTCB/BYSL/THG1L/SARS2/HNRNPA2B1/AARS2/NOLC1/RPF1/TRMT1L/NSA2/SNIP1/DDX47/YTHDF2/FAM98B/MRTO4/DDX21/SRSF3/YBEY/LSM6/UTP6/NOP2/THADA/TPRKB/INTS4/RPP40/DGCR8/URB1/UTP15/EXOSC3/PIN4/THUMPD1/ZCCHC8/CDKAL1/UTP3/INTS2/DDX54/DDX10/YRDC/METTL1/ERI1/TRPT1/SDE2/MOCS3/EXOSC9/TUT1/RCL1	243
