gene	one hour	1h	12h	0h	1h	12h
OsSAP1	0	0.025305865	0.195899652	0	-0.148741651	-0.27572413
OsSAP2	0	-0.387216143	0.161368002	0	-0.229147988	-0.096910013
OsSAP3	0	-0.22184875	-0.356547324	0	0.041392685	0.247973266
OsSAP4	0	-0.180456064	0.222716471	0	-0.096910013	-0.004364805
OsSAP6	0	-0.119186408	0.136720567	0	-0.017728767	-0.040958608
OsSAP8	0	-0.244125144	-0.060480747	0	-0.161150909	0.093421685
OsSAP9	0	0.170261715	0.075546961	0	-0.008773924	0.176091259
OsSAP10	0	0.193124598	-0.244125144	0	0.322219295	-0.119186408
OsSAP11	0	0.130333768	-0.251811973	0	0.161368002	-0.102372909
OsSAP12	0	-0.229147988	-0.119186408	0	-0.397940009	0.079181246
OsSAP13	0	-0.397940009	-0.420216403	0	0.665580991	0.155336037
OsSAP14	0	0.303196057	0.017033339	0	0.146128036	-0.050609993
OsSAP15	0	0.08278537	-0.167491087	0	0.255272505	0.025305865
OsSAP16	0	-0.008773924	0.049218023	0	0.303196057	-0.119186408
OsSAP17	0	1.057285644	0.918030337	0	0.369215857	0.260071388
OsSAP18	0	-0.060480747	-0.013228266	0	0.136720567	0.439332694
