gene	log2FoldChange	pvalue
HIF1A	-21.23311707	2.21E-63
HIST2H3A	24.38814177	1.71E-57
GTF2E1	-17.88380569	6.42E-48
FTSJ1	-18.44844147	5.39E-45
DCD	-19.18351022	8.42E-45
PRPF18	-17.09586507	2.73E-42
UQCR11	0.527924243	3.81E-42
AKR1D1	-16.80399007	6.84E-42
C5orf24	-16.82731814	1.55E-41
TAF6	-16.23565167	1.99E-41
RAB6C	-17.25077291	4.09E-41
MTPAP	-16.04235315	1.14E-40
TMEM205	19.50396216	4.09E-40
TUBGCP6	19.28497925	4.34E-40
SPDL1	-16.2892304	1.49E-38
SECISBP2	-15.66643752	2.77E-38
CCDC186	-16.43519528	4.17E-38
HIST1H3A;HIST3H3;H3F3A;H3F3C	22.02524443	4.69E-38
KIAA0754	-16.32360725	5.40E-37
EFEMP1	-16.81993815	7.15E-37
LONP2	-16.76197542	3.35E-36
REEP4	18.26660757	6.68E-36
TUBB2A	18.95633651	1.62E-35
GLTSCR2	18.03593704	2.84E-35
CASP4	-0.716546696	6.88E-34
PCF11	17.7435457	9.19E-34
ZCCHC24	17.55934323	1.14E-33
ZFYVE1	17.59904393	2.15E-33
HSPB7	17.09953715	3.52E-32
HLA-G	18.01538685	5.97E-32
ITFG1	17.29896115	6.23E-32
TGFB1	17.21204006	1.09E-31
SETD3	-15.3764913	4.31E-31
C5orf22	16.7779241	8.27E-31
H2BFS	18.24767386	1.56E-30
PTGR2	16.65851904	1.73E-30
CHURC1	-17.67708265	2.91E-30
WDR54	16.64921235	3.65E-30
APOC3	16.55427644	4.72E-30
ISCU	17.14405486	6.85E-30
CRELD1	18.46149711	7.44E-30
ZFP36L1	-16.61538759	1.23E-29
CNOT4	17.40148451	2.26E-29
CCNDBP1	16.45384248	2.79E-29
ORAI3	16.78342805	3.32E-29
LYRM7	16.85033525	8.62E-29
CCDC92	16.09826993	1.86E-28
CAMK4	15.97832817	1.85E-28
YPEL5	16.70386552	2.41E-28
TMCO4	16.56925035	2.60E-28
TBC1D1	16.4459298	3.62E-28
IRAK2	16.87323053	8.53E-28
APIP	16.26890036	1.77E-27
TMEM199	16.26378202	5.31E-27
IDS	17.73906345	5.65E-27
MAEA	15.80815031	9.48E-27
MMACHC	15.83029601	1.04E-26
TSR2	16.6610745	1.96E-26
C9orf78	16.75182896	1.62E-25
HIGD2A	16.57942676	3.58E-25
TTC9C	0.360197429	2.59E-24
ARHGEF28	-0.264111308	3.31E-23
DVL1	16.24282848	1.77E-21
FBXO30	0.53315026	3.78E-18
CDC20	-0.429357311	2.25E-15
NUDT16L1	0.479173286	7.47E-15
VDAC1	0.209546613	1.01E-14
TOR1A	0.174720093	4.07E-14
TNS1	-0.308422858	1.50E-13
ANLN	-0.588499294	1.79E-13
DHRS7	0.296916235	3.46E-13
BRPF1	-30	4.16E-12
CCNA2	-30	4.16E-12
CDCA5	-30	4.16E-12
CENPV	-30	4.16E-12
CNTRL	-30	4.16E-12
HSPA12A	-30	4.16E-12
IGFBP5	-30	4.16E-12
SGK2	-30	4.16E-12
GBP5	-29.97115124	4.36E-12
RELL1	-29.87286259	5.12E-12
MARK4	-29.85620938	5.26E-12
LLPH	-29.75565051	6.19E-12
CPTP	-29.7222342	6.54E-12
CASP7	-29.56942807	8.37E-12
PRUNE2	-29.57440468	8.30E-12
PLEKHO2	-29.58303692	8.19E-12
SMARCD1	-29.58392091	8.17E-12
GPALPP1	-29.54707584	8.67E-12
AHR	30	9.99E-12
AKR1C2	30	9.99E-12
ATP5G1;ATP5G2;ATP5G3	30	9.99E-12
EVI5	30	9.99E-12
GNA14	30	9.99E-12
HIRIP3	30	9.99E-12
KSR1	30	9.98E-12
SDC2	30	9.99E-12
SHARPIN	30	9.99E-12
VPS52	30	9.98E-12
RABIF	29.99841845	1.00E-11
TUBB2B	-29.46268575	9.93E-12
FAM120B	-29.49455023	9.44E-12
KPRP	-29.44998156	1.01E-11
KDELR2	29.96768494	1.05E-11
XIAP	-29.41441961	1.07E-11
NDC1	-29.39100967	1.11E-11
DDX19B	29.91839102	1.14E-11
COPZ2	-29.35771513	1.18E-11
PSTPIP2	-29.32487433	1.24E-11
MITF	-29.25849484	1.38E-11
NUAK2	29.75712922	1.46E-11
MYH11	29.74871031	1.48E-11
OXSM	-29.18421067	1.55E-11
AMIGO2	29.69889398	1.60E-11
OSBPL2	29.67680946	1.66E-11
PEX13	-29.12958919	1.69E-11
DCAF16	29.60507735	1.85E-11
GALNT16	-29.07235311	1.85E-11
OFD1	-29.01637504	2.02E-11
MTMR10	29.52397963	2.10E-11
CPNE7	-28.98405681	2.13E-11
VHL	-28.96008906	2.21E-11
ACTR5	-28.94278484	2.27E-11
KLF16	29.45128311	2.35E-11
TMEM184B	29.44795304	2.37E-11
MED31	29.4152256	2.49E-11
NFKBIE	29.38599848	2.60E-11
DSC3	-28.85812652	2.60E-11
CDKN1B	29.34672518	2.77E-11
ARFGEF3	-28.81660203	2.77E-11
CASKIN2	29.30963465	2.93E-11
MED9	-28.76895379	2.99E-11
TM2D2	29.26324316	3.15E-11
NAT14	29.2596491	3.16E-11
CCDC91	-28.67266765	3.47E-11
AGO3	-28.6503068	3.60E-11
WDR70	29.15805713	3.70E-11
CARS2	0.178673521	3.83E-11
ZBTB38	29.12741541	3.88E-11
FNBP4	29.11485889	3.95E-11
TMEM173	0.505874241	4.11E-11
ABHD5	29.0836838	4.14E-11
DGUOK	-28.51928191	4.41E-11
TARBP2	29.02524322	4.53E-11
NAA40	-28.50217133	4.53E-11
C17orf85	-28.46653913	4.79E-11
DGKZ	28.96413863	4.97E-11
BAG4	28.95587707	5.04E-11
PRKAR2B	28.9442557	5.13E-11
PIK3R3;PIK3R1	28.93662694	5.19E-11
IFITM3;IFITM1;IFITM2	28.91912515	5.33E-11
ANAPC15	28.90805322	5.42E-11
DNAJC16	-28.38453934	5.44E-11
COX16	-28.3925699	5.37E-11
RNF138	-28.35082477	5.73E-11
ALG11	28.86356727	5.80E-11
SRFBP1	-28.22237109	6.99E-11
TMEM9	28.69035071	7.54E-11
POLE4	-28.1110931	8.30E-11
KIF1C	-28.10008567	8.44E-11
ATPAF2	28.60937165	8.52E-11
SH2B1	-28.06011797	8.97E-11
CHST3	28.54169201	9.43E-11
FLG2	-28.01061572	9.68E-11
ZFAND1	28.51002227	9.89E-11
RASSF8	-27.98581192	1.01E-10
SPDEF	28.49057665	1.02E-10
EFNB2	-27.97945435	1.01E-10
USP33	28.45078195	1.08E-10
MDP1	-27.93008089	1.09E-10
NAA16	28.42681827	1.12E-10
TEN1	28.4261178	1.12E-10
MED11	28.42278425	1.13E-10
AVL9	-27.90658881	1.13E-10
GPSM2	28.41254177	1.14E-10
SLC5A3	-27.86153062	1.21E-10
NRBP2	28.32398046	1.31E-10
TFPI	28.29858226	1.36E-10
FAM21C	28.28734782	1.38E-10
GOLGA7	-27.76535754	1.41E-10
FUK	-27.74061114	1.46E-10
PPIL2	28.24256392	1.47E-10
SLC4A4	28.23467571	1.49E-10
KIF14	28.22348055	1.52E-10
NOL8	-27.64739425	1.68E-10
HELZ	28.0902654	1.85E-10
FBXL20	-27.57288297	1.88E-10
DHRS7B	28.0746552	1.89E-10
KATNB1	-27.54102822	1.97E-10
GPRC5C	28.04071675	1.99E-10
ZMYND8	-27.50331855	2.09E-10
MAP3K4	27.96680221	2.22E-10
MPC2	27.87367156	2.54E-10
MKL2	27.82918008	2.72E-10
GOLPH3L	27.82213171	2.74E-10
ERCC5	27.77781477	2.93E-10
IQSEC1	27.7635989	2.99E-10
ADRBK1	27.76359265	2.99E-10
RBBP6	-0.889376648	3.84E-10
GRB7	-27.08438635	3.90E-10
PRKAG2	27.43938885	4.79E-10
PRKRIR	-26.8781563	5.29E-10
UBE2T	-0.91753822	6.11E-10
PDK2	27.0801636	8.04E-10
USP8	-0.444147069	1.12E-09
B3GALT6	26.67465484	1.43E-09
TRNT1	0.458928524	1.61E-09
PCK2	0.321703427	3.26E-09
CDC37L1	-0.629136878	6.47E-09
LAMTOR4	0.735984582	6.97E-09
PSMD10	0.347608594	7.33E-09
SLC25A29	-0.708193274	1.01E-08
PDLIM1	-0.333711536	2.74E-08
UBAP1	-0.312873804	2.77E-08
EIF2B2	0.64263655	3.36E-08
PRMT7	-0.791653422	5.31E-08
KRT2	-1.665863214	5.52E-08
PPP6C	-0.330903547	1.08E-07
MYH14	-0.219395471	1.64E-07
RPS28	-0.322012551	7.52E-07
DDRGK1	0.194973004	8.26E-07
NDUFS5	-0.298654346	1.02E-06
RABGAP1L	-0.447934526	1.63E-06
OBSL1	0.762561731	3.60E-06
FAM175B	0.46975963	3.67E-06
COMMD4	0.383393929	5.49E-06
ATP5J2	0.483835857	5.67E-06
UBE2L3	0.311802892	6.83E-06
WNK1	-0.263957959	8.14E-06
PEX19	0.389023613	1.24E-05
CALD1	-0.348757222	1.24E-05
DDX41	0.838448543	1.31E-05
METAP2	-0.359885456	1.54E-05
NENF	0.468568507	1.60E-05
PRR14L	0.385762009	2.13E-05
WIBG	-0.281361684	2.22E-05
CCNB1	-1.272531126	2.24E-05
NT5DC2	0.532419889	3.11E-05
MLLT11	0.693205973	3.71E-05
RRP15	0.507885802	3.94E-05
ASNA1	0.204392611	4.87E-05
DCP1B	0.598636977	5.16E-05
COMMD1	0.488917026	5.15E-05
DNM1	-0.724941774	6.59E-05
F8A1	-0.360817118	7.92E-05
AKR7A2	-0.190959304	8.09E-05
MRPL41	0.241400884	8.18E-05
MLEC	-0.296848657	9.26E-05
MTX2	0.193319206	0.000105309
SH3BGRL3	0.307213259	0.000110246
WDR74	-0.808321167	0.000122135
PHLDB2	-0.423997694	0.00012893
NOSTRIN	-0.730240888	0.000140345
KIF3B	-0.565015424	0.000143818
CEP97	-0.385013796	0.000160091
EML3	0.944842814	0.00019713
CORO1B	0.408939009	0.000200738
UBE2C	-0.645370448	0.000200009
ERO1L	0.239113763	0.000209037
SIGMAR1	0.28020198	0.000212429
FLOT1	0.193213018	0.000221486
EPB41L2	-0.358811993	0.000254483
RAB23	-0.615533123	0.000268263
SUMF1	0.441361822	0.000274375
PPA2	-0.306339113	0.000336305
ADAMTSL1	1.926395354	0.000391951
STK17A	-0.439206581	0.000418532
YLPM1	-0.068060982	0.000472554
CKAP2	-0.470663424	0.000473699
NF1	-0.682096736	0.000498508
ARPC3	0.323315989	0.000505474
CCT4	0.174873985	0.000513034
TRMT1	0.25986809	0.000541055
DNAH8	0.954010194	0.000551085
ZMPSTE24	0.243832976	0.000571203
CTCF	-0.514439955	0.000600907
EEF2	-0.072033234	0.000610219
MAP4K5	0.381294591	0.000654457
NCAPH2	-0.39394603	0.00074853
DNAJB2	-0.414649911	0.000751806
CHPF	-0.37355666	0.000778609
CDC42BPB	0.258125182	0.000809742
ABHD11	0.393645568	0.000834824
FN3KRP	-0.777902125	0.000854489
TMEM11	-0.221767089	0.000997863
CDCA3	-1.10023824	0.00103833
MDN1	-0.350034442	0.001042409
FSTL1	-0.571395179	0.001047444
FNTB	0.287034483	0.001116491
EEF1B2	-0.093463451	0.001126023
C1QBP	-0.220013977	0.001136371
MB21D2	-0.836444335	0.001176202
MRPS35	-0.173367272	0.001272838
ACACA	0.219525544	0.001285264
POTEE;POTEF;POTEI;POTEJ	0.714475859	0.001380388
BAD	0.432690645	0.001407867
MRPL19	0.399136544	0.00147224
VMP1	-0.350542417	0.001587838
ARL2BP	0.366330204	0.00177857
EXOSC5	0.69443753	0.001807509
EIF4G1	0.13538327	0.001908442
EIF4B	-0.261842898	0.001909509
ACSL1	-0.810784853	0.001961293
GOLM1	-0.377009487	0.002026952
LEPRE1	0.19712655	0.00218504
GBP3	13.47528927	0.002232678
NDUFB4	-0.12719227	0.002240624
DAP	-0.305310977	0.002247995
MAPK3	-0.266016191	0.00235041
ACTG1	-0.363151116	0.002448244
HDLBP	-0.089312747	0.002461144
SOWAHC	-0.765601057	0.002465669
MTHFD1L	-0.387534409	0.002537593
NDUFAF2	-1.037267621	0.002660823
LAS1L	0.223981888	0.002766754
PKM	0.074444184	0.002821243
PRKD1	0.851443602	0.002981258
ZAK	-0.274846466	0.002991577
PUS7	-0.44590257	0.003088188
MRFAP1	-0.647486397	0.003098463
CTIF	-0.300648576	0.003326059
ASCC1	0.410241709	0.003474369
ACOT9	0.277015683	0.003479628
MRPL54	0.268082108	0.003657755
BUB3	-0.132099778	0.003662983
CLUH	-0.140370895	0.003664245
ABCF3	0.229512299	0.00372313
ARHGAP1	0.169867447	0.003758159
AAMP	-0.214437367	0.003765316
BCAS2	-0.39787004	0.003773401
TUBB4B	-0.526566749	0.003791595
LSM4	-0.952358104	0.003782162
KIF11	-0.509797815	0.00386663
ROCK1	0.432545866	0.003974524
EXOC6B	0.624484218	0.004258217
NOMO3;NOMO2	0.566197701	0.004264834
TSPO	0.322076035	0.004321811
KIF1B;KIF1A	0.529947678	0.004386801
MRPS16	-0.467163815	0.004760674
DHRS3	0.396952888	0.004875604
SERPINB6	0.12617461	0.004903132
AIFM1	0.180859768	0.004968802
COTL1	-0.272617889	0.005491389
RAB11FIP1	-0.332400528	0.005576497
RAF1	-0.548237546	0.005591808
SPAG1	0.270722565	0.005633528
CWF19L1	-0.528590093	0.00564338
PIGK	0.319705025	0.005720733
COPS6	0.163164316	0.005705031
RPE	-0.510121562	0.005762717
EPN1	0.343918576	0.005837811
SPECC1L	-0.310985099	0.005973182
PRSS3P2;PRSS2;PRSS1	-0.513670048	0.005970258
ATP1B1	-0.407195686	0.006199491
GAR1	-0.27155211	0.006244479
NNT	0.257357278	0.006305129
DNAJB11	-0.12304587	0.006317
PPAP2B	-0.70944607	0.006364502
USP22	-0.849158161	0.00654258
ERLEC1	0.601881886	0.006648275
HEBP1	-0.332341071	0.006648312
FBL	-0.126758748	0.006735739
CTSD	-0.335440145	0.006733054
VPS25	0.191286602	0.006782534
MRPL21	0.664374471	0.006820563
MIOS	-0.276768948	0.006879636
FANCI	-0.356510075	0.00689045
CD81	-0.247261542	0.007099674
CBS	-0.394267957	0.007182052
EIF2A	-0.090166164	0.007325918
TXNDC12	-0.210954016	0.007341949
PHF5A	-0.222383608	0.007332765
RPL7L1	-0.253695497	0.007322169
ARAP1	0.51649933	0.007410115
ATG16L1	-0.844368564	0.007670637
MSRB3	-0.353494767	0.007711482
CDC42EP1	0.310371639	0.007846187
DCAF7	-0.523099746	0.007920797
ALG2	0.372447185	0.008111973
MEPCE	0.162179938	0.008775515
DPYD	0.636542217	0.008836858
LZIC	-0.475771629	0.008934569
PGLS	0.236566459	0.009634198
KIAA0196	-0.259402495	0.009681247
LMAN2	0.274618384	0.009899364
ACOX3	0.462128464	0.010359756
SMG9	0.073384085	0.010425817
