	C0_1	C0_2	C0_3	C50_1	C50_2	C50_3	C500_1	C500_2	C500_3
KYUSt_chr1.6353	96.0	96.0	48.0	83.0	37.0	52.0	99.0	66.0	63.0
KYUSt_chr1.21862	10.0	7.0	11.0	7.0	9.0	6.0	10.0	7.0	14.0
KYUSt_chr1.23596	0.0	16.0	8.0	5.0	2.0	0.0	1.0	3.0	10.0
KYUSt_chr1.30554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KYUSt_chr1.34605	23.0	19.0	10.0	101.0	30.0	52.0	77.0	47.0	16.0
KYUSt_chr1.38890	37.0	65.0	75.0	45.0	91.0	129.0	42.0	69.0	76.0
KYUSt_chr2.2084	3290.0	1101.0	1441.0	1018.0	3123.0	812.0	1477.0	500.0	2176.0
KYUSt_chr2.4392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0
KYUSt_chr2.4554	1096.0	1042.0	610.0	1001.0	1485.0	1732.0	1800.0	801.0	1059.0
KYUSt_chr2.4720	1144.0	1483.0	1002.0	1065.0	1927.0	1537.0	1077.0	1206.0	1274.0
KYUSt_chr2.5003	1.0	2.0	2.0	0.0	0.0	5.0	2.0	0.0	1.0
KYUSt_chr2.8267	4.0	10.0	3.0	14.0	40.0	1.0	6.0	1.0	8.0
KYUSt_chr2.9708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KYUSt_chr2.10477	36.0	27.0	17.0	32.0	82.0	107.0	166.0	70.0	63.0
KYUSt_chr2.12900	538.0	518.0	416.0	494.0	510.0	608.0	792.0	618.0	712.0
KYUSt_chr2.32786	939.0	714.0	1695.0	1920.0	841.0	513.0	2497.0	2212.0	1079.0
KYUSt_chr2.35736	203.0	454.0	142.0	1120.0	857.0	691.0	969.0	525.0	661.0
KYUSt_chr2.42079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KYUSt_chr2.46574	114.0	127.0	54.0	104.0	108.0	29.0	121.0	175.0	97.0
KYUSt_chr2.46575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KYUSt_chr2.49361	768.0	765.0	691.0	947.0	780.0	642.0	826.0	837.0	778.0
KYUSt_chr2.49837	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
KYUSt_chr2.50581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KYUSt_chr2.51313	373.0	180.0	188.0	211.0	150.0	103.0	189.0	155.0	382.0
KYUSt_chr2.51321	1595.0	1874.0	1000.0	316.0	1085.0	822.0	600.0	1336.0	653.0
KYUSt_chr2.51333	584.0	465.0	212.0	222.0	140.0	107.0	173.0	187.0	317.0
KYUSt_chr2.51348	0.0	33.0	145.0	17.0	40.0	3.0	12.0	545.0	7.0
KYUSt_chr2.51361	18.0	26.0	3.0	7.0	2.0	0.0	0.0	2.0	1.0
KYUSt_chr2.51362	67.0	263.0	194.0	75.0	144.0	345.0	198.0	514.0	101.0
KYUSt_chr2.51457	117.0	4.0	3.0	8.0	19.0	325.0	6.0	159.0	5.0
KYUSt_chr2.51532	11.0	23.0	7.0	8.0	22.0	65.0	21.0	72.0	10.0
KYUSt_chr2.51552	41.0	3.0	3.0	10.0	28.0	17.0	4.0	7.0	4.0
KYUSt_chr2.52415	287.0	206.0	438.0	430.0	198.0	328.0	174.0	287.0	302.0
KYUSt_chr3.4197	1.0	64.0	19.0	8.0	9.0	12.0	5.0	30.0	1265.0
KYUSt_chr3.21326	448.0	205.0	267.0	485.0	263.0	543.0	222.0	291.0	211.0
KYUSt_chr3.22277	1228.0	1243.0	1099.0	1133.0	1311.0	1441.0	817.0	1444.0	1494.0
KYUSt_chr3.27029	71.0	42.0	9.0	0.0	34.0	8.0	15.0	38.0	9.0
KYUSt_chr3.29270	3.0	4.0	0.0	11.0	8.0	24.0	13.0	5.0	4.0
KYUSt_chr3.31161	6.0	0.0	7.0	0.0	14.0	0.0	0.0	10.0	8.0
KYUSt_chr3.31847	270.0	184.0	0.0	536.0	0.0	2.0	1.0	1.0	1174.0
KYUSt_chr3.36705	31.0	181.0	280.0	25.0	104.0	200.0	168.0	515.0	849.0
KYUSt_chr3.42373	33.0	91.0	48.0	10.0	107.0	95.0	24.0	119.0	53.0
KYUSt_chr3.48134	58.0	57.0	46.0	58.0	102.0	276.0	69.0	120.0	138.0
KYUSt_chr4.5018	382.0	200.0	68.0	96.0	79.0	391.0	67.0	237.0	75.0
KYUSt_chr4.15117	118.0	103.0	34.0	118.0	70.0	166.0	127.0	148.0	62.0
KYUSt_chr4.26949	0.0	0.0	2.0	26.0	0.0	10.0	11.0	16.0	1.0
KYUSt_chr4.47436	328.0	1300.0	350.0	126.0	356.0	558.0	266.0	92.0	385.0
KYUSt_chr4.49188	1255.0	817.0	950.0	1635.0	1147.0	1629.0	1422.0	854.0	728.0
KYUSt_chr4.51401	8.0	25.0	7.0	23.0	10.0	27.0	61.0	37.0	9.0
KYUSt_chr4.52035	137.0	63.0	88.0	52.0	125.0	69.0	68.0	109.0	111.0
KYUSt_chr4.55061	18.0	41.0	132.0	28.0	105.0	149.0	136.0	97.0	77.0
KYUSt_chr5.6930	65.0	30.0	82.0	50.0	23.0	55.0	48.0	25.0	11.0
KYUSt_chr5.22446	8.0	2.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0
KYUSt_chr5.22763	55.0	70.0	82.0	94.0	101.0	60.0	200.0	227.0	131.0
KYUSt_chr5.27891	6.0	2.0	7.0	0.0	1.0	1.0	2.0	0.0	0.0
KYUSt_chr5.34402	674.0	393.0	383.0	208.0	845.0	623.0	470.0	440.0	322.0
KYUSt_chr6.1776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KYUSt_chr6.1778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KYUSt_chr6.8642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KYUSt_chr6.10280	1604.0	1469.0	1073.0	675.0	2211.0	898.0	1828.0	1393.0	1452.0
KYUSt_chr6.21882	991.0	799.0	668.0	704.0	911.0	1356.0	1423.0	1796.0	1538.0
KYUSt_chr6.25405	579.0	866.0	466.0	802.0	740.0	867.0	638.0	633.0	711.0
KYUSt_chr6.31541	190.0	130.0	316.0	254.0	192.0	233.0	243.0	183.0	187.0
KYUSt_chr7.4290	371.0	385.0	201.0	321.0	493.0	265.0	132.0	294.0	308.0
KYUSt_chr7.10815	983.0	1002.0	1532.0	591.0	1127.0	578.0	725.0	425.0	1366.0
KYUSt_chr7.14512	748.0	1284.0	590.0	583.0	1087.0	1193.0	1124.0	1622.0	1620.0
KYUSt_chr7.14547	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KYUSt_chr7.15693	0.0	1.0	3.0	0.0	3.0	0.0	0.0	2.0	0.0
KYUSt_scaffold_2697.692	35.0	148.0	32.0	10.0	42.0	27.0	5.0	62.0	43.0
KYUSt_scaffold_2697.699	2.0	18.0	2.0	2.0	0.0	0.0	5.0	2.0	4.0
KYUSt_scaffold_2697.702	2.0	3.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0
KYUSt_scaffold_2697.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KYUSt_contig_686-1.700	330.0	236.0	331.0	289.0	343.0	224.0	259.0	249.0	269.0
KYUSt_contig_2278.139	630.0	618.0	357.0	682.0	604.0	1041.0	642.0	924.0	558.0
