	C0_1	C0_2	C0_3	C50_1	C50_2	C50_3	C500_1	C500_2	C500_3
KYUSt_chr1.26369-E4	0	0	0	0	0	0	0	0	0
KYUSt_chr1.26369-E3	1	0	0	0	0	0	0	0	10
KYUSt_chr1.26369-E2	1	1	4	0	0	0	0	0	10
KYUSt_chr1.26369-E1	0	0	0	0	0	0	0	0	0
KYUSt_chr1.26372-E2	0	0	0	0	1	3	0	0	0
KYUSt_chr1.26372-E1	0	0	0	0	1	8	0	0	0
KYUSt_chr3.1039-E1	0	0	0	0	0	0	0	0	0
KYUSt_chr3.1039-E2	36	6	47	17	25	21	3	24	13
KYUSt_chr3.1039-E3	2496	431	92	45	2256	178	1125	925	19
KYUSt_chr3.48760-E3	3	0	0	10	0	0	12	0	7
KYUSt_chr3.48760-E2	0	0	0	3	0	0	6	0	4
KYUSt_chr3.48760-E1	1067	1466	277	3292	1055	1197	2311	4252	2028
KYUSt_chr3.48761-E2	1716	2103	1146	1555	3502	717	2989	4700	2387
KYUSt_chr3.48761-E1	766	2078	1151	2519	4787	734	3239	896	1901
KYUSt_chr3.48762-E2	11691	19296	9912	19369	19186	27199	31092	30518	23581
KYUSt_chr3.48762-E1	16014	19842	11882	26017	28960	23882	35025	31138	18280
KYUSt_chr3.48766-E2	610	28	404	267	658	1260	1481	1447	692
KYUSt_chr3.48766-E1	5278	4725	2821	3757	6176	5167	3704	17847	16044
KYUSt_chr4.6185-E1	5323	10499	9878	8510	9508	9462	18096	10697	7176
KYUSt_chr4.6185-E2	863	1715	1242	1324	1595	2041	4700	2731	1685
KYUSt_chr4.26081-E1	0	0	0	0	0	0	0	0	0
KYUSt_chr4.26081-E2	13285	18544	9233	17786	13703	23202	15852	26330	19236
KYUSt_contig_2860.19-E1	0	0	0	1	0	1	2	0	0
KYUSt_contig_2860.19-E2	10	1	0	223	0	24	82	4	2
